Company Name,Category,Website,Phone,Email
Almacén Punto Moda,Fashion Boutiques,https://www.yelu.com.co/company/57899/ALMAC%C3%89N_PUNTO_MODA/,,
Bonitas Boutique Moda,Fashion Boutiques,https://www.facebook.com/Boutiquemoda51/,,
Serafina,Fashion Boutiques,https://www.facebook.com/Serafinatiendacol/,,
The Closet,Fashion Boutiques,https://the-closet-2.ueniweb.com/,,
Boutique Moda,Fashion Boutiques,https://boutique-moda.ueniweb.com/,,
Fundación Romelio,Non-Profit Art Foundations,https://www.idealist.org/en/nonprofit/03d42f0366f64841a8a89e1846566a22-fundacion-romelio-bucaramanga/,,
Fundación Mujer y Hogar,Non-Profit Art Foundations,https://www.fundacionmujeryhogar.org/,,
Fundación Agua Bendita,Non-Profit Art Foundations,https://www.fundacionaguabendita.org/,,
Fundación Cultural Waja,Non-Profit Art Foundations,https://www.seremos.co/organizations/fundacion-cultural-waja/,,
Fundación Laical Miani (Fulmiani),Non-Profit Art Foundations,https://fulmiani.org/nosotros/,,
Yoga Store,Wellness Studios,https://yogastore.com.co/profesores/,,
Happy Yoga Colombia,Wellness Studios,https://happyyogacolombia.com/,,
